Student ID,Name,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location
19,Smita Gupta,Female,2024,"Cloud (AWS/Azure/GCP), C++, Data Science",0,3,4,Wipro,Established,Automotive,1573183,No,,Pune
20,Tanu Mehta,Female,2024,"Blockchain, Cybersecurity, Web Dev (Full Stack)",1,9,3,Dream11,Startup,EdTech,712675,No,,Mumbai
21,Vivaan Pillai,Male,2023,"C++, Embedded Systems, Cybersecurity, DevOps, Digital Marketing",1,9,4,Zomato,Startup,Consulting,318410,No,,Delhi
22,Rani Nair,Female,2024,"Web Dev (Full Stack), Embedded Systems, Digital Marketing",2,10,4,Flipkart,Established,EdTech,1113669,No,,Delhi
23,Diya Gupta,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing",0,6,3,Capgemini,Established,IT Services,1804258,No,,Chennai
24,Deepa Reddy,Female,2025,Digital Marketing,2,10,4,Oracle,Established,FinTech,1291302,No,,Delhi
25,Isha Kaur,Female,2023,"ML/AI, Embedded Systems, Java, C++",1,8,2,Swiggy,Startup,Healthcare,938140,No,,Ahmedabad
26,Isha Yadav,Female,2023,"Cybersecurity, Digital Marketing, DevOps",0,8,3,Amazon,Established,Logistics,1777624,No,,Kolkata
27,Kavita Jain,Female,2025,"ML/AI, Web Dev (Full Stack), Cybersecurity",0,10,3,Adobe,Established,Manufacturing,582865,No,,Ahmedabad
28,Pooja Sharma,Female,2023,"C++, ML/AI, Digital Marketing",2,6,1,Oracle,Established,E-commerce,725110,No,,Jaipur
29,Aditya Jain,Male,2025,"ML/AI, Cloud (AWS/Azure/GCP), Python, Java, Cybersecurity",0,3,3,Byju's,Startup,Automotive,438293,No,,Pune
30,Vikas Patel,Male,2024,"Cloud (AWS/Azure/GCP), UI/UX Design, Cybersecurity",0,10,2,Adobe,Established,Logistics,1380584,Yes,Data Science,Hyderabad
31,Krish Mehta,Male,2024,"Embedded Systems, Python, DevOps, Blockchain",2,4,4,Microsoft,Established,E-commerce,1440111,No,,Bangalore
32,Krish Gupta,Male,2024,"Web Dev (Full Stack), Cybersecurity",1,8,4,Tata Motors,Established,Logistics,2968438,Yes,MBA,Pune
33,Vikas Das,Male,2022,"ML/AI, Java, Embedded Systems, Networking",1,9,2,Wipro,Established,IT Services,1608393,No,,Mumbai
34,Rajesh Tiwari,Male,2024,"Data Science, Cloud (AWS/Azure/GCP)",2,5,0,,,,0,Yes,MBA,Chennai
35,Riya Ghosal,Female,2023,"Digital Marketing, Java, Data Science, Embedded Systems, Blockchain",0,9,1,Meta,Established,Manufacturing,724112,No,,Ahmedabad
36,Sona Yadav,Female,2023,Blockchain,0,2,2,,,,0,Yes,MBA,Mumbai
37,Isha Kaur,Female,2024,"UI/UX Design, Python",0,6,1,Infosys,Established,Healthcare,1279537,No,,Chennai
38,Rani Yadav,Female,2025,"Java, Networking, Web Dev (Full Stack), UI/UX Design, C++",1,3,0,,,,0,No,,Kolkata
39,Neha Yadav,Female,2025,"Embedded Systems, DevOps, Cloud (AWS/Azure/GCP), Digital Marketing",2,8,4,Wipro,Established,Consulting,367971,No,,Jaipur
40,Ankit Roy,Male,2023,Embedded Systems,2,2,2,Capgemini,Established,Healthcare,759906,No,,Jaipur
41,Meera Gupta,Female,2024,"Data Science, Cloud (AWS/Azure/GCP)",1,1,2,,,,0,No,,Hyderabad
42,Deepa Yadav,Female,2024,"UI/UX Design, Web Dev (Full Stack), ML/AI, Data Science",1,8,3,Paytm,Startup,EdTech,755034,No,,Pune
43,Pari Jain,Female,2024,"C++, Java, Digital Marketing",0,5,4,Microsoft,Established,Healthcare,2004734,No,,Bangalore
44,Yash Kumar,Male,2023,"DevOps, Java, Networking",0,2,0,,,,0,Yes,Data Science,Delhi
45,Sona Prakash,Female,2025,"C++, Python",1,7,2,Google,Established,Healthcare,572787,No,,Delhi
46,Amit Sharma,Male,2025,"Embedded Systems, Java",2,1,2,,,,0,Yes,AI/ML,Delhi
47,Myra Sharma,Female,2025,"Embedded Systems, Digital Marketing, Networking, UI/UX Design",2,3,3,Tech Mahindra,Established,FinTech,1150457,No,,Pune
48,Isha Patel,Female,2022,"Blockchain, Data Science, ML/AI",0,6,1,Byju's,Startup,Logistics,751335,No,,Bangalore
49,Riya Gupta,Female,2023,"Digital Marketing, DevOps, C++",1,10,3,Cisco,Established,Logistics,2590086,No,,Hyderabad
50,Amit Prakash,Male,2023,"ML/AI, Web Dev (Full Stack)",2,5,0,,,,0,No,,Chennai
51,Riya Reddy,Female,2023,"Web Dev (Full Stack), Networking, Data Science",0,10,4,Infosys,Established,IT Services,2620542,Yes,MBA,Pune
52,Aarav Kaur,Male,2023,"Java, Cybersecurity, Web Dev (Full Stack)",1,4,3,TCS,Established,Consulting,624923,No,,Pune
53,Amit Mishra,Male,2023,"Cloud (AWS/Azure/GCP), Blockchain, Cybersecurity, Python",2,9,1,Jio Platforms,Established,Logistics,752821,No,,Ahmedabad
54,Myra Tiwari,Female,2024,"DevOps, Digital Marketing, Cloud (AWS/Azure/GCP)",0,1,0,,,,0,Yes,PhD,Jaipur
55,Gaurav Ghosal,Male,2022,"Python, C++, Blockchain",1,4,0,,,,0,Yes,Cybersecurity,Hyderabad
56,Ankit Das,Male,2025,"Digital Marketing, Networking, Python, ML/AI, Cybersecurity",1,9,2,Paytm,Startup,Logistics,523897,No,,Delhi
57,Diya Mehta,Female,2023,"Embedded Systems, DevOps, Data Science",2,6,3,Dream11,Startup,IT Services,437509,No,,Jaipur
58,Riya Kumar,Female,2025,"Cybersecurity, Java",0,7,4,Tata Motors,Established,Consulting,1957231,No,,Kolkata
59,Tanu Prakash,Female,2023,"ML/AI, Cloud (AWS/Azure/GCP), Cybersecurity",3,5,0,,,,0,Yes,Data Science,Kolkata
60,Ankit Gupta,Male,2025,"Data Science, DevOps",1,5,3,Flipkart,Established,E-commerce,1041866,No,,Chennai
61,Ananya Verma,Female,2024,"Cloud (AWS/Azure/GCP), Java",0,6,1,Tata Motors,Established,E-commerce,806734,No,,Kolkata
62,Sunil Chakraborty,Male,2023,"Cloud (AWS/Azure/GCP), Cybersecurity, Java, UI/UX Design",3,8,4,Flipkart,Established,EdTech,1213067,Yes,AI/ML,Bangalore
63,Vivaan Mishra,Male,2022,"Embedded Systems, DevOps",1,1,2,,,,0,Yes,PhD,Mumbai
64,Diya Nair,Female,2022,"DevOps, Digital Marketing, Cybersecurity",2,8,1,Amazon,Established,Logistics,1489439,Yes,AI/ML,Kolkata
65,Kirti Kumar,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing, UI/UX Design, ML/AI",2,3,4,Microsoft,Established,E-commerce,1476901,No,,Bangalore
66,Rahul Pillai,Male,2023,"Networking, Blockchain, Cloud (AWS/Azure/GCP)",2,7,2,Cognizant,Established,Consulting,2216160,No,,Jaipur
67,Kirti Tiwari,Female,2024,"Cloud (AWS/Azure/GCP), Networking",1,7,1,Oracle,Established,Healthcare,2192661,Yes,Data Science,Bangalore
68,Kirti Chakraborty,Female,2025,"Python, C++, Networking, Cybersecurity, Cloud (AWS/Azure/GCP)",2,6,2,Google,Established,FinTech,2668846,No,,Bangalore
69,Krish Gupta,Male,2025,"DevOps, Python, Embedded Systems",2,7,2,Amazon,Established,Manufacturing,1356839,No,,Pune
70,Sunil Gupta,Male,2022,"Embedded Systems, Cybersecurity, Cloud (AWS/Azure/GCP), ML/AI",2,5,3,Cognizant,Established,Automotive,1306807,No,,Ahmedabad
71,Reyansh Gupta,Male,2022,C++,2,10,4,Google,Established,Logistics,497689,No,,Chennai
72,Shreya Kaur,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, Cybersecurity",0,5,1,Tech Mahindra,Established,FinTech,1780913,No,,Kolkata
73,Isha Roy,Female,2024,"Java, Data Science",1,2,3,Swiggy,Startup,Automotive,1207104,No,,Delhi
74,Riya Mishra,Female,2023,"Cybersecurity, ML/AI",0,10,4,Wipro,Established,Consulting,843114,No,,Pune
75,Pooja Singh,Female,2025,"Data Science, Cloud (AWS/Azure/GCP), Java, Embedded Systems",2,8,2,L&T Technology Services,Established,FinTech,1318890,No,,Pune
76,Ankit Gupta,Male,2022,"Java, Python",1,1,2,,,,0,Yes,Cybersecurity,Delhi
77,Siddharth Pillai,Male,2025,"C++, DevOps, Blockchain",0,4,2,Tata Motors,Established,Consulting,789769,No,,Mumbai
78,Ankit Roy,Male,2023,"ML/AI, DevOps, Cybersecurity, Networking",0,2,3,Tata Motors,Established,EdTech,2249068,No,,Jaipur
79,Shaurya Patel,Male,2024,"Networking, Blockchain, Digital Marketing",1,6,3,Jio Platforms,Established,EdTech,1678422,No,,Delhi
80,Vivaan Roy,Male,2022,"Networking, Cloud (AWS/Azure/GCP)",2,7,1,Capgemini,Established,EdTech,1626921,No,,Chennai
81,Kavita Gupta,Female,2024,"UI/UX Design, Cloud (AWS/Azure/GCP), Python",0,5,1,Zomato,Startup,Manufacturing,1265483,No,,Ahmedabad
82,Aditya Pillai,Male,2025,"Networking, Embedded Systems, Web Dev (Full Stack), UI/UX Design",3,6,2,Cisco,Established,FinTech,1573452,No,,Hyderabad
83,Aditya Tiwari,Male,2022,"Data Science, Digital Marketing, Blockchain, UI/UX Design, Java",2,2,4,Oracle,Established,E-commerce,1820327,Yes,PhD,Hyderabad
84,Saanvi Mehta,Female,2022,"Java, DevOps, UI/UX Design, Embedded Systems",2,7,4,Cognizant,Established,Healthcare,659348,No,,Kolkata
85,Jyoti Prakash,Female,2022,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), C++",0,6,3,HCLTech,Established,IT Services,1343129,No,,Bangalore
86,Shreya Mehta,Female,2023,DevOps,1,8,3,Swiggy,Startup,FinTech,603702,No,,Bangalore
87,Saanvi Chakraborty,Female,2022,"Web Dev (Full Stack), Digital Marketing, C++, Cloud (AWS/Azure/GCP)",2,6,3,HCLTech,Established,E-commerce,2188555,Yes,MS (USA/EU),Jaipur
88,Aryan Das,Male,2023,"Networking, DevOps",1,8,4,Infosys,Established,Healthcare,1881013,Yes,Cybersecurity,Kolkata
89,Saanvi Pillai,Female,2024,"DevOps, Embedded Systems, Data Science, Python",0,9,2,Cisco,Established,Consulting,1974476,No,,Mumbai
90,Sona Kumar,Female,2024,"Web Dev (Full Stack), DevOps",2,4,1,,,,0,Yes,PhD,Mumbai
91,Sona Yadav,Female,2022,"Web Dev (Full Stack), Python",1,7,4,L&T Technology Services,Established,Manufacturing,516985,No,,Mumbai
92,Isha Gupta,Female,2022,"Digital Marketing, Java, UI/UX Design, ML/AI, Embedded Systems",0,5,0,Capgemini,Established,Automotive,1295503,No,,Kolkata
93,Rajesh Das,Male,2022,"DevOps, UI/UX Design",0,7,4,Oracle,Established,EdTech,1686143,No,,Kolkata
94,Priyanshu Kumar,Male,2022,"UI/UX Design, Embedded Systems, Data Science",1,5,3,Tata Motors,Established,Consulting,950700,No,,Delhi
95,Sia Gupta,Female,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",1,9,4,Wipro,Established,Automotive,817154,No,,Hyderabad
96,Shreya Tiwari,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, UI/UX Design",0,10,4,Amazon,Established,Logistics,1218837,No,,Kolkata
97,Rohan Mehta,Male,2024,"Java, Web Dev (Full Stack)",2,8,1,Tech Mahindra,Established,Manufacturing,1219839,No,,Delhi
98,Rohan Kaur,Male,2023,"C++, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",0,3,1,HCLTech,Established,FinTech,1798269,No,,Chennai
99,Tanu Roy,Female,2024,"Digital Marketing, UI/UX Design",0,8,3,Dream11,Startup,E-commerce,827804,No,,Ahmedabad
100,Kavita Verma,Female,2025,"UI/UX Design, Networking, Cybersecurity",2,2,0,,,,0,Yes,M.Tech,Hyderabad
101,Rohan Roy,Male,2023,"UI/UX Design, Blockchain, Python, Data Science",0,3,2,,,,0,No,,Ahmedabad
102,Aanya Kumar,Female,2022,"Digital Marketing, C++",0,7,4,Tata Motors,Established,Automotive,929377,No,,Hyderabad
103,Amit Prakash,Male,2025,Digital Marketing,2,3,0,,,,0,No,,Jaipur
104,Vikas Singh,Male,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Embedded Systems",0,7,4,Capgemini,Established,FinTech,1168262,No,,Jaipur
105,Krish Patel,Male,2024,"Blockchain, Networking, Cloud (AWS/Azure/GCP), Java",1,4,2,,,,0,Yes,Data Science,Mumbai
106,Sia Mishra,Female,2024,"UI/UX Design, Python, Data Science, Cybersecurity",2,4,2,,,,0,No,,Ahmedabad
107,Isha Yadav,Female,2023,"Java, DevOps, Embedded Systems, UI/UX Design, Web Dev (Full Stack)",1,9,4,Capgemini,Established,IT Services,1217891,No,,Mumbai
108,Priyanshu Roy,Male,2025,"Blockchain, Data Science, Cybersecurity, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",2,9,4,Google,Established,Logistics,1618082,No,,Chennai
109,Aarohi Mehta,Female,2022,"Cloud (AWS/Azure/GCP), Networking",2,10,3,Tata Motors,Established,EdTech,1304859,No,,Mumbai
110,Jyoti Gupta,Female,2025,"Digital Marketing, C++, ML/AI, UI/UX Design",2,5,3,HCLTech,Established,Logistics,2836184,No,,Pune
111,Kirti Jain,Female,2024,"Web Dev (Full Stack), C++, Cybersecurity, Java",1,4,4,TCS,Established,Logistics,1764920,No,,Bangalore
112,Diya Tiwari,Female,2023,"UI/UX Design, DevOps",1,10,4,Infosys,Established,Manufacturing,1812239,No,,Jaipur
113,Vivaan Jain,Male,2024,"DevOps, Data Science, Digital Marketing",1,6,1,Wipro,Established,Automotive,1304658,No,,Chennai
114,Reyansh Tiwari,Male,2024,Embedded Systems,0,7,2,Adobe,Established,Automotive,1502053,No,,Ahmedabad
115,Kavita Patel,Female,2022,"Cybersecurity, ML/AI, Python",0,6,2,Meta,Established,FinTech,1572380,No,,Jaipur
116,Amit Das,Male,2023,"Python, ML/AI, Blockchain",1,4,0,,,,0,Yes,AI/ML,Kolkata
117,Smita Patel,Female,2022,"Data Science, Digital Marketing, DevOps",0,4,1,Adobe,Established,Logistics,1989318,No,,Hyderabad
118,Reyansh Patel,Male,2025,"Digital Marketing, Embedded Systems, DevOps",2,8,4,Ola,Startup,Logistics,750216,Yes,AI/ML,Bangalore
119,Ankit Chakraborty,Male,2022,"C++, Python, DevOps, Cybersecurity",1,5,2,,,,0,Yes,AI/ML,Ahmedabad
120,Riya Kumar,Female,2023,"ML/AI, C++",0,6,3,Dream11,Startup,Healthcare,354005,No,,Bangalore
121,Zara Sharma,Female,2025,"Digital Marketing, Java, Data Science",0,5,2,,,,0,Yes,M.Tech,Chennai
122,Neha Chakraborty,Female,2023,"DevOps, Web Dev (Full Stack)",2,10,3,HCLTech,Established,Manufacturing,603758,No,,Delhi
123,Kirti Roy,Female,2024,"Cloud (AWS/Azure/GCP), Digital Marketing",3,10,4,Swiggy,Startup,E-commerce,757466,No,,Bangalore
124,Tanu Jain,Female,2025,"Embedded Systems, Cloud (AWS/Azure/GCP)",0,7,4,Jio Platforms,Established,Manufacturing,1419144,No,,Jaipur
125,Pooja Tiwari,Female,2024,"ML/AI, C++",0,8,4,Cisco,Established,FinTech,1844263,No,,Pune
126,Pooja Kaur,Female,2024,ML/AI,2,5,4,Ola,Startup,Consulting,791896,No,,Pune
127,Vikas Chakraborty,Male,2022,"Blockchain, ML/AI, Networking, DevOps",1,2,0,,,,0,Yes,Data Science,Chennai
128,Rani Kaur,Female,2025,Web Dev (Full Stack),0,9,2,Capgemini,Established,E-commerce,1542123,No,,Bangalore
129,Reyansh Nair,Male,2023,"C++, Embedded Systems, Blockchain",1,5,1,Paytm,Startup,Manufacturing,1013689,No,,Ahmedabad
130,Amit Kaur,Male,2023,"Networking, Data Science, UI/UX Design, Embedded Systems, DevOps",1,3,4,Tech Mahindra,Established,FinTech,1111540,No,,Bangalore
131,Priyanshu Chakraborty,Male,2024,"Data Science, UI/UX Design, Blockchain, Python, Web Dev (Full Stack)",2,9,3,Dr. Reddy's Labs,Established,Automotive,1771080,No,,Chennai
132,Ankit Singh,Male,2024,DevOps,1,1,1,,,,0,Yes,Cybersecurity,Ahmedabad
133,Neha Pillai,Female,2025,"Java, Cybersecurity, Digital Marketing, DevOps, C++",0,8,3,HCLTech,Established,Consulting,2094490,No,,Jaipur
134,Kirti Sharma,Female,2025,C++,1,3,0,TCS,Established,Manufacturing,1646303,No,,Pune
135,Pooja Verma,Female,2025,"Data Science, Cybersecurity",0,8,3,Tata Motors,Established,Healthcare,385264,No,,Bangalore
136,Sia Das,Female,2024,"ML/AI, Cybersecurity, Java, Blockchain, DevOps",1,3,2,Dream11,Startup,Healthcare,983738,No,,Ahmedabad
137,Shaurya Tiwari,Male,2024,"Cloud (AWS/Azure/GCP), DevOps",0,8,4,Oracle,Established,Consulting,865883,No,,Ahmedabad
138,Zara Tiwari,Female,2022,"Digital Marketing, Cloud (AWS/Azure/GCP), Data Science, UI/UX Design, C++",0,2,3,Adobe,Established,IT Services,1910241,No,,Mumbai
139,Riya Jain,Female,2025,"C++, Networking, Web Dev (Full Stack)",1,8,3,Dr. Reddy's Labs,Established,FinTech,1383486,No,,Pune
140,Rahul Kumar,Male,2024,"Java, UI/UX Design",0,5,2,,,,0,Yes,AI/ML,Chennai
141,Neha Sharma,Female,2022,UI/UX Design,2,2,0,,,,0,Yes,Data Science,Chennai
142,Isha Kaur,Female,2025,"Data Science, ML/AI, Blockchain, Digital Marketing",0,4,2,,,,0,No,,Mumbai
143,Neha Yadav,Female,2025,"Networking, Digital Marketing",1,6,3,Tech Mahindra,Established,Consulting,753342,No,,Hyderabad
144,Pooja Jain,Female,2022,Blockchain,1,5,2,Flipkart,Established,Automotive,1643075,No,,Jaipur
145,Sona Gupta,Female,2024,"Python, Cybersecurity, Web Dev (Full Stack)",1,6,3,Swiggy,Startup,Healthcare,933272,No,,Bangalore
146,Meera Singh,Female,2024,"Networking, Cybersecurity, ML/AI, Python, C++",3,5,3,Amazon,Established,Consulting,2290068,No,,Jaipur
147,Priyanshu Yadav,Male,2025,"Cloud (AWS/Azure/GCP), Networking, C++",1,6,3,Tata Motors,Established,EdTech,1729008,No,,Chennai
148,Aryan Das,Male,2023,"Digital Marketing, Blockchain, Cloud (AWS/Azure/GCP), C++",2,7,2,Dr. Reddy's Labs,Established,Healthcare,1294688,Yes,AI/ML,Kolkata
149,Aarav Singh,Male,2022,"Data Science, Java, Blockchain, Embedded Systems, ML/AI",1,10,4,Dream11,Startup,Consulting,767778,No,,Mumbai
150,Sia Gupta,Female,2024,"Embedded Systems, DevOps, Cybersecurity, Blockchain, Cloud (AWS/Azure/GCP)",3,2,0,,,,0,Yes,AI/ML,Kolkata
151,Gaurav Chakraborty,Male,2022,"Python, Cybersecurity, Blockchain",2,1,2,,,,0,No,,Pune
152,Kirti Yadav,Female,2024,"Java, Cloud (AWS/Azure/GCP)",0,9,2,Flipkart,Established,E-commerce,1317349,No,,Delhi
153,Rajesh Kaur,Male,2022,"DevOps, Networking, Java, Cybersecurity",0,8,3,Dr. Reddy's Labs,Established,Manufacturing,1920845,No,,Bangalore
154,Siddharth Prakash,Male,2023,"Cloud (AWS/Azure/GCP), Python, Embedded Systems",1,5,3,Jio Platforms,Established,EdTech,1672513,No,,Hyderabad
155,Shreya Roy,Female,2024,"Java, Cybersecurity, Blockchain",0,4,3,Cisco,Established,EdTech,1603307,No,,Kolkata
156,Yash Chakraborty,Male,2022,"C++, Web Dev (Full Stack)",2,6,3,Dream11,Startup,Automotive,1292948,Yes,M.Tech,Jaipur
157,Rahul Jain,Male,2025,"Embedded Systems, C++, Networking, Cybersecurity",1,4,3,Dream11,Startup,IT Services,1088363,No,,Ahmedabad
158,Priyanshu Chakraborty,Male,2024,"Blockchain, Java, UI/UX Design",0,8,3,Flipkart,Established,Healthcare,961964,No,,Jaipur
159,Rohan Verma,Male,2025,"UI/UX Design, ML/AI, Cybersecurity",0,4,4,Flipkart,Established,E-commerce,431146,No,,Kolkata
160,Krish Reddy,Male,2023,"Python, Cloud (AWS/Azure/GCP), Blockchain, Java, DevOps",0,6,3,Oracle,Established,E-commerce,1799131,No,,Hyderabad
161,Shreya Kumar,Female,2025,"Blockchain, C++",1,5,3,Meta,Established,Manufacturing,2065125,No,,Ahmedabad
162,Pari Chakraborty,Female,2022,"DevOps, ML/AI, UI/UX Design",0,8,4,HCLTech,Established,Manufacturing,1116488,No,,Chennai
163,Deepa Singh,Female,2023,"Networking, Data Science, DevOps, Cloud (AWS/Azure/GCP)",1,5,3,Flipkart,Established,E-commerce,1278065,No,,Chennai
164,Vivaan Roy,Male,2023,"ML/AI, Data Science, Python",2,5,2,Amazon,Established,IT Services,1694873,No,,Hyderabad
165,Ananya Singh,Female,2022,Networking,3,10,3,Dr. Reddy's Labs,Established,Logistics,1295550,No,,Kolkata
166,Rahul Mehta,Male,2023,"UI/UX Design, Java",1,5,4,Cognizant,Established,Logistics,2015372,No,,Pune
167,Aarohi Das,Female,2024,"Python, Blockchain, Cybersecurity, Web Dev (Full Stack), Java",2,9,1,Dr. Reddy's Labs,Established,FinTech,1258252,No,,Jaipur
168,Krish Kaur,Male,2024,"Web Dev (Full Stack), Cloud (AWS/Azure/GCP), Embedded Systems, Data Science",0,5,4,Amazon,Established,E-commerce,2145561,No,,Bangalore
169,Zara Reddy,Female,2023,"Networking, DevOps",2,8,4,Cisco,Established,Consulting,2010862,No,,Delhi
170,Reyansh Mehta,Male,2022,"Java, Digital Marketing, Blockchain",3,5,2,,,,0,No,,Bangalore
171,Sona Verma,Female,2025,"UI/UX Design, ML/AI",1,6,2,TCS,Established,Logistics,1546163,No,,Pune
172,Ankit Singh,Male,2022,"Cybersecurity, C++, Data Science, Networking",3,6,3,Google,Established,Manufacturing,1386325,No,,Kolkata
173,Dhruv Jain,Male,2023,"Data Science, Blockchain",1,4,1,,,,0,Yes,PhD,Kolkata
174,Shreya Reddy,Female,2023,"Java, Cloud (AWS/Azure/GCP)",0,3,2,,,,0,No,,Hyderabad
175,Kiara Verma,Female,2025,Cloud (AWS/Azure/GCP),0,6,2,Google,Established,Manufacturing,2383970,No,,Mumbai
176,Aarav Reddy,Male,2023,"Cybersecurity, Blockchain, DevOps, Java",3,1,0,,,,0,No,,Bangalore
177,Rohan Tiwari,Male,2022,"Embedded Systems, Java, Cybersecurity, Networking, DevOps",2,7,4,Microsoft,Established,E-commerce,2585513,No,,Kolkata
178,Jyoti Reddy,Female,2022,"Data Science, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",1,4,2,Ola,Startup,FinTech,326388,No,,Bangalore
179,Myra Reddy,Female,2024,"UI/UX Design, Data Science, Cybersecurity",2,10,3,L&T Technology Services,Established,E-commerce,1289374,Yes,Data Science,Mumbai
180,Vivaan Gupta,Male,2025,Cybersecurity,0,6,1,TCS,Established,Logistics,851676,Yes,PhD,Bangalore
181,Kiara Mehta,Female,2025,"Networking, Blockchain, Web Dev (Full Stack)",1,7,3,HCLTech,Established,Automotive,1776004,No,,Hyderabad
182,Shaurya Mehta,Male,2023,"Data Science, Cloud (AWS/Azure/GCP), Java",0,4,0,,,,0,Yes,MBA,Pune
183,Manish Singh,Male,2025,"Blockchain, Digital Marketing, Embedded Systems, DevOps",0,10,0,Google,Established,EdTech,1436170,Yes,PhD,Delhi
184,Riya Mehta,Female,2025,"Java, Blockchain, Embedded Systems, ML/AI",0,6,0,Swiggy,Startup,IT Services,702524,No,,Chennai
185,Kirti Sharma,Female,2024,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), UI/UX Design, Java",0,2,2,Microsoft,Established,FinTech,1715418,No,,Delhi
186,Manish Patel,Male,2022,"DevOps, Digital Marketing, C++",0,2,1,Meta,Established,FinTech,1542550,Yes,Data Science,Bangalore
187,Saanvi Gupta,Female,2023,"Digital Marketing, Data Science, Cybersecurity, Blockchain",3,5,2,Ola,Startup,Manufacturing,423806,No,,Bangalore
188,Sunil Reddy,Male,2024,"Python, Web Dev (Full Stack), Networking",0,6,3,Oracle,Established,Automotive,2082639,No,,Mumbai
189,Aarohi Mehta,Female,2023,"Blockchain, Cybersecurity, Digital Marketing, UI/UX Design",2,5,3,Tata Motors,Established,Logistics,1434510,No,,Chennai
190,Kirti Mehta,Female,2023,"Networking, DevOps, ML/AI",2,6,2,Ola,Startup,EdTech,675118,No,,Ahmedabad
191,Jyoti Sharma,Female,2024,"Data Science, Python, Cybersecurity, DevOps, UI/UX Design",0,4,4,Dream11,Startup,Logistics,536194,No,,Chennai
192,Nikhil Prakash,Male,2025,"Java, Digital Marketing, C++",0,6,1,HCLTech,Established,E-commerce,1513707,Yes,Data Science,Bangalore
193,Myra Nair,Female,2025,"Cybersecurity, Data Science",2,6,3,Zomato,Startup,Logistics,354084,No,,Chennai
194,Isha Nair,Female,2024,"Blockchain, Cloud (AWS/Azure/GCP), Cybersecurity",0,5,4,Adobe,Established,E-commerce,1863179,No,,Bangalore
195,Sunil Kaur,Male,2025,"C++, Python, Blockchain, DevOps",3,10,4,TCS,Established,Healthcare,2772832,No,,Pune
